"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"131083","131083C00001","江東区","江東区立万年橋際公衆便所","コウトウクリツマンエンバシギワコウシュウベンジョ","Public_toilet_at_Mannen-Bridge_KotoCity","131083","","東京都江東区清澄2-14-9","東京都","江東区","清澄2丁目","14-9","","万年橋南東詰め","35.683220","139.794785","","","2","2","0","0","0","0","0","0","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00002","江東区","江東区立清澄児童遊園内公衆便所","コウトウクリツキヨスミジドウユウエンナイコウシュウベンジョ","Public_toilet_in_Kiyosumi-ChildPlaySpace_KotoCity","131083","","東京都江東区清澄3-3-16","東京都","江東区","清澄3丁目","3-16","","清澄児童遊園内","35.681236","139.798660","","","2","2","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00003","江東区","江東区立高橋際公衆便所","コウトウクリツタカバシギワコウシュウベンジョ","Public_toilet_at_Takabashi-Bridge_KotoCity","131083","","東京都江東区清澄3-11-1","東京都","江東区","清澄3丁目","11-1","","高橋南西詰め","35.683472","139.798477","","","2","2","0","0","0","0","0","1","1","0","1","有","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00004","江東区","江東区立猿子橋際公衆便所","コウトウクリツサルコバシギワコウシュウベンジョ","Public_toilet_at_Saruko-Bridge_KotoCity","131083","","東京都江東区常盤1-11-11","東京都","江東区","常盤1丁目","11-11","","","35.685356","139.796173","","","1","1","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00005","江東区","江東区立新大橋際公衆便所","コウトウクリツシンオオハシギワコウシュウベンジョ","Public_toilet_at_Shinohashi-Bridge_KotoCity","131083","","東京都江東区新大橋1-2-1","東京都","江東区","新大橋1丁目","2-1","","新大橋南西詰め","35.687813","139.793106","","","2","2","0","0","0","0","0","0","0","0","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00006","江東区","江東区立八名川公園内公衆便所","コウトウクリツヤナガワコウエンナイコウシュウベンジョ","Public_toilet_in_Yanagawa-Park_KotoCity","131083","","東京都江東区新大橋3-1-18","東京都","江東区","新大橋3丁目","1-18","","八名川公園内","35.686428","139.796021","","","2","2","0","0","0","0","0","1","1","0","1","有","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00007","江東区","江東区立森下公園内公衆便所","コウトウクリツモリシタコウエンナイコウシュベンジョ","Public_toilet_in_Morishita-Park_KotoCity","131083","","東京都江東区森下2-5-16","東京都","江東区","森下2丁目","5-16","","森下公園内","35.686226","139.799454","","","1","1","0","0","0","0","0","1","0","1","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00008","江東区","江東区立五間堀公園内公衆便所","コウトウクリツゴケンボリコウエンナイコウシュウベンジョ","Public_toilet_in_Gokenbori-Park_KotoCity","131083","","東京都江東区森下2-30-7","東京都","江東区","森下2丁目","30-7","","五間堀公園内","35.689262","139.798416","","","2","2","0","0","0","0","0","1","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00009","江東区","江東区立伊予橋際公衆便所","コウトウクリツイヨバシギワコウシュウベンジョ","Public_toilet_at_Iyo-Bridge_KotoCity","131083","","東京都江東区森下2-31-2","東京都","江東区","森下2丁目","31-2","","新大橋通り沿い","35.688274","139.800369","","","2","2","0","0","0","0","0","1","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00010","江東区","江東区立高森公園内公衆便所","コウトウクリツタカモリコウエンナイコウシュベンジョ","Public_toilet_in_Takamori-Park_KotoCity","131083","","東京都江東区森下3-13-9","東京都","江東区","森下3丁目","13-9","","高森公園内","35.685150","139.802989","","","1","1","0","0","0","0","0","1","1","0","1","有","無","有","00:00:00","23:59:00","","","",""
