都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考（床面積㎡）
131105,0000000001,東京都,目黒区,駒場東大前駅公衆便所,コマバトウダイマエエキコウシュウベンジョ,,東京都目黒区駒場 2-2-1,,,35.658784,139.682796,3,2,,,2,,,1,,,1,○,○,○,,,,,,30.95
131105,0000000002,東京都,目黒区,南部橋公衆便所,ナンブバシコウシュウベンジョ,,東京都目黒区青葉台 2-19-4,,,35.649164,139.693042,2,1,,,1,,,0,,,0,×,×,×,,,,,,7.79
131105,0000000003,東京都,目黒区,大橋公衆便所,オオハシコウシュウベンジョ,,東京都目黒区大橋 2-24-8,,,35.651482,139.684671,2,1,,,1,,,0,,,0,×,×,×,,,,,,7.79
131105,0000000004,東京都,目黒区,正覚寺公衆便所,ショウカクジコウシュウベンジョ,,東京都目黒区中目黒 3-1-6,,,35.641533,139.700364,3,2,,,2,,,0,,,0,×,×,×,,,,,,18
131105,0000000005,東京都,目黒区,祐天寺公衆便所,ユウテンジコウシュウベンジョ,,東京都目黒区中目黒 5-24-53,,,35.636519,139.696627,3,2,,,1,,,1,,,1,○,○,○,,,,,,21.29
131105,0000000006,東京都,目黒区,新橋公衆便所,シンバシコウシュウベンジョ,,東京都目黒区下目黒 1-6-18,,,35.633784,139.711068,3,2,,,0,,,1,,,1,○,○,○,,,,,,11.29
131105,0000000007,東京都,目黒区,大鳥神社公衆便所,オオトリジンジャコウシュウベンジョ,,東京都目黒区下目黒 3-1-2,,,35.632152,139.708107,3,2,,,2,,,0,,,0,×,○,×,,,,,,14.28
131105,0000000008,東京都,目黒区,不動尊公衆便所,フドウソンコウシュウベンジョ,,東京都目黒区下目黒 3-20-26,,,35.628631,139.70809,4,3,,,3,,,1,,,1,○,×,×,,,,,,35.59
131105,0000000009,東京都,目黒区,不動尊裏公衆便所,フドウソンウラコウシュウベンジョ,,東京都目黒区下目黒 3-20-50,,,35.628631,139.70809,0,0,,,0,,,2,,,0,×,×,×,,,利用時間等の制限あり,,,3.4
131105,0000000010,東京都,目黒区,祐天寺駅公衆便所,ユウテンジエキコウシュウベンジョ,,東京都目黒区祐天寺 2-13-5,,,35.637158,139.690745,7,5,,,3,,,1,,,1,○,○,×,,,,,,40.49
131105,0000000011,東京都,目黒区,洗足駅公衆便所,センゾクエキコウシュウベンジョ,,東京都目黒区洗足 2-21-21,,,35.610413,139.694396,3,2,,,2,,,0,,,0,×,×,×,,,,,,27
131105,0000000012,東京都,目黒区,圓融寺公衆便所,エンユウジコウシュウベンジョ,,東京都目黒区碑文谷 1-22-40,,,35.619426,139.689772,3,2,,,2,,,1,,,1,○,○,×,,,利用時間等の制限あり,,,30.56 
131105,0000000013,東京都,目黒区,碑文谷八幡神社公衆便所,ヒモンヤハチマンジンジャコウシュウベンジョ,,東京都目黒区碑文谷 3-7-3,,,35.617423,139.685658,3,2,,,2,,,0,,,0,×,×,×,,,,,,15
131105,0000000014,東京都,目黒区,学芸大学駅公衆便所,ガクゲイダイガクエキコウシュウベンジョ,,東京都目黒区鷹番 3-2-1,,,35.628742,139.685247,5,3,,,3,,,1,,,1,○,○,○,,,利用時間等の制限あり,,,39.97 
131105,0000000015,東京都,目黒区,緑が丘駅前公衆便所,ミドリガオカエキマエコウシュウベンジョ,,東京都目黒区緑が丘 3-1-13,,,35.606505,139.679147,0,0,,,0,,,2,,,2,○,○,○,,,,,,10.9
131105,0000000016,東京都,目黒区,熊野神社公衆便所,クマノジンジャコウシュウベンジョ,,東京都目黒区自由が丘 1-24-12,,,35.61065,139.668892,3,2,,,1,,,1,,,1,○,○,×,,,,,,13.63
131105,0000000017,東京都,目黒区,自由が丘駅公衆便所,ジユウガオカエキコウシュウベンジョ,,東京都目黒区自由が丘 1-30-1,,,35.607272,139.668665,8,5,,,5,,,1,,,1,○,○,×,,,利用時間等の制限あり,,,71.09 
131105,0000000018,東京都,目黒区,都立大学駅公衆便所,トリツダイガクエキコウシュウベンジョ,,東京都目黒区中根 1-5-1,,,35.61766,139.676304,7,5,,,4,,,1,,,1,○,×,×,,,,,,48.33
131105,0000000019,東京都,目黒区,めぐろ区民キャンパス公衆便所,メグロクミンキャンパスコウシュウベンジョ,,東京都目黒区八雲 1-1-10,,,35.621542,139.672741,3,2,,,2,,,1,,,1,○,○,×,,,利用時間等の制限あり,,,35.83 
131105,0000000020,東京都,目黒区,八雲氷川神社公衆便所,ヤクモヒカワジンジャコウシュウベンジョ,,東京都目黒区八雲 2-4-16,,,35.61878,139.671083,3,2,,,1,,,1,,,1,○,○,×,,,,,,21.76
