市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,,,,,,,,,,
132241,0000000001,東京都,多摩市,多摩市役所本庁舎,タマシヤクショホンチョウシャ,Tama city hall ,東京都多摩市関戸6-12-1,,地下、１階、２階、３階、４階,35.637005,139.446309,50,33,4,13,27,4,23,0,0,0,4,有,有,有,08:30,17:15,利用は開庁時のみ,,,"トイレ数は多摩市役所東庁舎,多摩市役所第二庁舎,多摩市役所第三庁舎,多摩市役所東会議室,多摩市役所西会議室を含む",,,,,,,,,,,
132241,0000000002,東京都,多摩市,多摩市役所東庁舎,タマシヤクショヒガシチョウシャ,Tama city hall higashichousha ,東京都多摩市関戸6-12-1,,,35.637531,139.447674,13,8,2,3,5,2,3,0,0,0,1,有,有,無,08:30,17:15,利用は開庁時のみ,,,,,,,,,,,,,,
132241,0000000003,東京都,多摩市,多摩市役所第二庁舎,タマシヤクショダイニチョウシャ,Tama city hall dainichousha,東京都多摩市関戸6-12-1,,,35.637090,139.447512,10,6,2,2,6,2,4,0,0,0,2,有,有,無,08:30,17:15,利用は開庁時のみ,,,,,,,,,,,,,,
132241,0000000004,東京都,多摩市,多摩市役所第三庁舎,タマシヤクショダイサンチョウシャ,Tama city hall daisannchousha,東京都多摩市関戸6-12-1,,,35.637785,139.446913,3,2,1,0,1,1,0,0,0,0,0,無,無,無,08:30,17:15,利用は開庁時のみ,,,,,,,,,,,,,,
132241,0000000005,東京都,多摩市,多摩市役所東会議室,タマシヤクショヒガシカイギシツ,Tama city hall higasikaigisitsu,東京都多摩市関戸6-12-1,,,35.638121,139.447037,10,6,2,2,4,2,2,0,0,0,0,無,無,無,08:30,17:15,利用は開庁時のみ,,,,,,,,,,,,,,
132241,0000000006,東京都,多摩市,多摩市役所西会議室,タマシヤクショニシカイギシツ,Tama city hall higasikaigisitsu,東京都多摩市関戸6-12-1,,,35.636673,139.445879,6,4,0,2,4,2,2,0,0,0,0,無,無,無,08:30,17:15,利用は開庁時のみ,,,,,,,,,,,,,,
132241,0000000007,東京都,多摩市,多摩市立健康センター,タマシリツケンコウセンター,Municipal Health Center,東京都多摩市関戸4-19-5,,地下、１階、２階、３階、４階,35.649083,139.449703,25,16,1,8,13,1,1,4,0,4,4,有,有,有,08:30,17:00,利用は開庁時のみ,,,,,,,,,,,,,,
132241,0000000008,東京都,多摩市,多摩市立関戸公民館,タマシリツセキドコウミンカン,Sekido public hall ,東京都多摩市関戸4-72,,,35.649842,139.446839,16,11,1,4,13,2,11,2,0,2,4,有,有,有,09:00,22:00,８Ｆトイレの利用は開館時のみ,,,,,,,,,,,,,,
132241,0000000009,東京都,多摩市,多摩市立永山公民館,タマシリツナガヤマコウミンカン,Nagayama public hall ,東京都多摩市永山1-5,,ベルブ永山3階、４階、５階,35.628346,139.448415,13,7,3,3,11,3,8,0,0,0,3,有,無,有,09:00,22:00,第１・３木曜は休館,,,,,,,,,,,,,,
132241,0000000010,東京都,多摩市,桜ヶ丘集会所,サクラガオカシュウカイジョ,,東京都多摩市桜ケ丘1-1,,,35.641171,139.444489,2,1,,1,2,,2,,,,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000011,東京都,多摩市,関戸第一倶楽部,セキドダイイチクラブ,,東京都多摩市関戸5-35-3,,,35.641091,139.449915,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000012,東京都,多摩市,一ノ宮集会所,イチノミヤシュウカイジョ,,東京都多摩市一ノ宮1-18-8,,,35.652857,139.441793,2,2,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000013,東京都,多摩市,連光寺本村集会所,レンコウジホンムラシュウカイジョ,,東京都多摩市連光寺2-27-16,,,35.643045,139.455529,1,1,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000014,東京都,多摩市,東部集会所,トウブシュウカイジョ,,東京都多摩市連光寺6-21-4,,,35.632440,139.465052,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
132241,0000000015,東京都,多摩市,桜ヶ丘一ノ宮集会所,サクラガオカイチノミヤシュウカイジョ,,東京都多摩市一ノ宮4-37-5,,,35.649741,139.438517,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000016,東京都,多摩市,東寺方自治会会館,ヒガシテラガタジチカイカイカン,,東京都多摩市東寺方626-2,,,35.643235,139.438042,2,2,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000017,東京都,多摩市,和田稲荷塚集会所,ワダイナリヅカシュウカイジョ,,東京都多摩市百草1139-2,,,35.638443,139.434907,2,2,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000018,東京都,多摩市,関戸河原クラブ,セキドカワラクラブ,,東京都多摩市関戸2-3-8,,,35.651526,139.453770,2,2,,,,,,2,,2,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000019,東京都,多摩市,諏訪会館,スワカイカン,,東京都多摩市諏訪5-2-1,,,35.621548,139.454247,2,2,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000020,東京都,多摩市,大貝戸集会所,オオカイトシュウカイジョ,,東京都多摩市乞田1101,,,35.631779,139.438632,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000021,東京都,多摩市,下落合集会所,シモオチアイシュウカイジョ,,東京都多摩市愛宕4-14,,,35.627782,139.425154,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000022,東京都,多摩市,山王下集会所,サンオウシタシュウカイジョ,,東京都多摩市山王下1-9,,,35.626648,139.420797,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000023,東京都,多摩市,中和田天神倶楽部,ナカワダテンジンクラブ,,東京都多摩市和田1023,,,35.641083,139.425551,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000024,東京都,多摩市,小野路集会所,オノジシュウカイジョ,,東京都多摩市南野2-14-1,,,35.606957,139.432297,,,,,,,,2,,2,,有,,無,,,,,,,,,,,,,,,,,
132241,0000000025,東京都,多摩市,貝取クラブ,カイドリクラブ,,東京都多摩市貝取1-56-9,,,35.625845,139.438342,2,2,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000026,東京都,多摩市,並木稲荷自治会館,ナミキイナリジチカイカン,,東京都多摩市和田72,,,35.645075,139.434150,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000027,東京都,多摩市,瓜生集会所,ウリュウシュウカイジョ,,東京都多摩市永山6-6-30,,,35.616756,139.444716,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000028,東京都,多摩市,馬引沢自治会館,マヒキザワジチカイカン,,東京都多摩市馬引沢2-3-16,,,35.632735,139.453492,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000029,東京都,多摩市,青木葉集会所,アオキハシュウカイジョ,,東京都多摩市落合2-24,,,35.616249,139.426990,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000030,東京都,多摩市,京王一ノ宮集会所,ケイオウイチノミヤシュウカイジョ,,東京都多摩市連光寺4-1-2,,,35.640604,139.466481,,,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000031,東京都,多摩市,永山橋集会所,ナガヤマハシシュウカイジョ,,東京都多摩市諏訪1-3,,,35.634009,139.447761,,,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000032,東京都,多摩市,上乞田集会所,カミコッタシュウカイジョ,,東京都多摩市豊ケ丘1-17-1,,,35.627965,139.431566,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000033,東京都,多摩市,聖ヶ丘三丁目集会所,ヒジリガオカサンチョウメシュウカイジョ,,東京都多摩市聖ケ丘3-43-5,,,35.628701,139.458658,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000034,東京都,多摩市,鶴牧五丁目集会所,ツルマキゴチョウメシュウカイジョ,,東京都多摩市鶴牧5-18-8,,,35.610035,139.423269,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000035,東京都,多摩市,聖ヶ丘四丁目集会所,ヒジリガオカヨンチョウメシュウカイジョ,,東京都多摩市聖ケ丘4-12-6,,,35.628038,139.462310,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000036,東京都,多摩市,木の実公園集会所,キノミコウエンシュウカイジョ,,東京都多摩市連光寺3-3-21,,,35.644360,139.458779,,,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000037,東京都,多摩市,聖ヶ丘二丁目集会所,ヒジリガオカニチョウメシュウカイジョ,,東京都多摩市聖ケ丘2-47-15,,,35.634752,139.455039,1,1,,,,,,,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000038,東京都,多摩市,聖ヶ丘南集会所,ヒジリガオカミナミシュウカイジョ,,東京都多摩市聖ヶ丘3-59-10,,,35.628696,139.458632,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000039,東京都,多摩市,南野集会所,ミナミノシュウカイジョ,,東京都多摩市南野3-9-22,,,35.607861,139.422676,,,,,,,,2,1,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000040,東京都,多摩市,唐木田自治会館,カラキダジチカイカン,,東京都多摩市唐木田1-13-2,,,35.614267,139.406956,1,1,,,,,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
132241,0000000041,東京都,多摩市,中組集会所,ナカグシュウカイジョ,,東京都多摩市中沢2-20-12,,,35.619329,139.414417,,,,,,,,1,,1,,,,無,,,,,,,,,,,,,,,,,
132241,0000000042,東京都,多摩市,瓜生自治会館,ウリュウジチカイカン,,東京都多摩市永山2-19-17,,,35.629488,139.443720,1,,1,,1,1,,1,,1,,無,,無,,,,,,,,,,,,,,,,,
