管理者種別番号,鉄道駅通し番号,鉄道駅内トイレ通し番号,鉄道会社名,路線名,鉄道駅名,都道府県,市区町村・番地,ビル建物名,トイレ名,設置フロア,経度,緯度,座標系,性別の分け,トイレへの誘導路として点字ブロックを敷設している,トイレの位置等を音声で案内している,戸の形式,車椅子が出入りできる（出入口の有効幅員80cm以上）,車椅子が転回できる（直径150cm以上の円が内接できる）,便座に背もたれがある,便座に手すりがある,オストメイト用設備がある,オストメイト用設備が温水対応している,大型ベッドを備えている,乳幼児用おむつ交換台等を備えている,乳幼児用椅子を備えている,非常用呼び出しボタンを設置している,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,その他,写真データ（トイレの入り口）,写真データ（トイレ内）,写真データ（トイレ内（別角度））,備考,データの作成年月,データの変更年月,データの削除年月
1,1,1,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,B1F,139.699413,35.69078,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_01_3.jpg,駅改良工事に伴い閉鎖中,201901,202401,
1,1,2,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,B1F,139.699413,35.69078,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_02_3.jpg,駅改良工事に伴い閉鎖中,201901,202401,
1,1,3,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,2F,139.699955,35.689631,JGD2011,男性用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_03_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_03_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_03_3.jpg,非常用呼び出しはインターホン,201901,,
1,1,4,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,2F,139.699955,35.689631,JGD2011,女性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,×,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_3.jpg,非常用呼び出しはインターホン,201901,,
1,2,1,小田急電鉄,小田原線,南新宿,東京都,渋谷区代々木2丁目29番16号,,多目的トイレ,2F,139.698941,35.683703,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_3.jpg,非常用呼び出しはインターホン,201901,,
1,3,1,小田急電鉄,小田原線,参宮橋,東京都,渋谷区代々木4丁目6番7号,,多目的トイレ,1F,139.693507,35.678625,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_3.jpg,,201901,202011,
1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201901,,201911
1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201901,,201911
1,4,3,小田急電鉄,小田原線,代々木八幡,東京都,渋谷区代々木5丁目6番1号,,多目的トイレ,2F,139.688794,35.669666,JGD2011,男性用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○兼用,×兼用,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_3.jpg,点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える,201911,201911,
1,4,4,小田急電鉄,小田原線,代々木八幡,東京都,渋谷区代々木5丁目6番1号,,多目的トイレ,2F,139.688824,35.669677,JGD2011,女性用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○兼用,×兼用,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_04_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_04_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_04_3.jpg,点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える,201911,201911,
