"都道府県コード又は市区町村コード","都道府県名","市区町村名","名称","名称_カナ","名称_英語","住所","設置位置","車いす使用者用トイレ","男子大便器洋式","男子大便器和式","男子小便器","女子便器洋式","女子便器和式","共用便器洋式","共用便器和式","トイレットペーパー","ベビーシート","ベビーチェア","オストメイト","備考","経度","緯度","分類"
"131148","東京都","中野区","中野駅北口公衆便所","ナカノエキキタグチコウシュウベンジョ","","中野区中野5-31-30","北口改札外","","","2","4","1","2","","","あり","なし","あり","なし","","139.666010426343","35.7061038717728","公衆トイレ一覧"
"131148","東京都","中野区","東中野駅東口公衆便所","ヒガシナカノエキヒガシグチコウシュウベンジョ","","中野区東中野1-50-71","東口改札外","","","","","","","","3","あり","なし","なし","なし","","139.686585041004","35.7061487121405","公衆トイレ一覧"
"131148","東京都","中野区","丸山公園","マルヤマコウエン","","中野区丸山2-23","園内","","","","1","","","","1","あり","なし","なし","なし","","139.650319518124","35.7242839647692","公衆トイレ一覧"
"131148","東京都","中野区","江原公園","エハラコウエン","","中野区江原町1-15","園内","1","1","","2","2","","","","あり","あり","あり","専用流し（給湯あり）","","139.674731260756","35.7293598794837","公衆トイレ一覧"
"131148","東京都","中野区","みずのとう公園","ミズノトウコウエン","","中野区江古田1-3","園内","1","","","","","","","","あり","あり","あり","専用流し","","139.674803531199","35.7247755573202","公衆トイレ一覧"
"131148","東京都","中野区","江古田の森公園（学習棟）","エゴタノモリコウエン","","中野区江古田3-14","園内","1","1","","2","2","","","","あり","あり","なし","専用流し","","139.664777713474","35.7292952537246","公衆トイレ一覧"
"131148","東京都","中野区","江古田の森公園（調節池北側）","エゴタノモリコウエン","","中野区江古田3-14","園内","1","","2","3","","3","","","あり","なし","なし","なし","調節池区域内のため閉鎖する場合あり。河川水越流時及び夏期夜間。","139.667962413344","35.7295081201874","公衆トイレ一覧"
"131148","東京都","中野区","江古田の森公園（調節池北側）","エゴタノモリコウエン","","中野区江古田3-14","園内","1","","2","3","","3","","","あり","なし","なし","なし","調節池区域内のため閉鎖する場合あり。河川水越流時及び夏期夜間。","139.666563239159","35.7311511793641","公衆トイレ一覧"
"131148","東京都","中野区","江古田の森公園（学習棟）","エゴタノモリコウエン","","中野区江古田3-14","園内","1","1","","2","2","","","","あり","あり","なし","専用流し","","139.666594087493","35.7296301741741","公衆トイレ一覧"
"131148","東京都","中野区","鷺六公園","サギロクコウエン","","中野区鷺宮6-24","園内","","","","","","","","1","あり","なし","なし","なし","","139.629662097111","35.7255097268578","公衆トイレ一覧"
"131148","東京都","中野区","かしの木公園","カシノキコウエン","","中野区若宮3-52","園内","1","","","1","","","","","あり","なし","なし","なし","","139.641941538461","35.7200551078948","公衆トイレ一覧"
"131148","東京都","中野区","江古田公園","エゴタコウエン","","中野区松が丘2-35,2-29","園内","1","","","1","","","","1","あり","なし","なし","なし","","139.670775231028","35.7238636876717","公衆トイレ一覧"
"131148","東京都","中野区","沼袋公園","ヌマブクロコウエン","","中野区沼袋1-19","園内","1","","","1","","","","1","あり","なし","なし","なし","","139.668872223443","35.7201418665069","公衆トイレ一覧"
