施設名,施設名(英語),男性トイレ数,女性トイレ数,男女共用トイレ数,バリアフリートイレ数,ベビーベッド(有、無),オストメイト(有、無),利用可能時間OPENS,利用可能時間CLOSES,説明(日本語),説明(英語),緯度,経度,画像URL,画像URL,画像URL,画像URL
大井町駅前公衆便所,"",5,3,"","","","","","",公衆便所,"",35.605663,139.734739,"","","",""
大崎橋公衆便所,"",4,2,"","","","","","",公衆便所,"",35.624819,139.723825,"","","",""
東大井公衆便所,"",3,2,"","","","","","",公衆便所,"",35.603819,139.740366,"","","",""
居木橋公衆便所,"",3,2,"","","","","","",公衆便所,"",35.618108,139.733175,"","","",""
武蔵小山駅前公衆便所,"",3,2,1,"","","","","",公衆便所（他　子供用-小1）,"",35.619863,139.703321,"","","",""
新浜川橋北公衆便所,"",9,2,"","","","","","",公衆便所,"",35.596642,139.740583,"","","",""
荏原町駅前公衆便所,"",2,"",1,"","","","","",公衆便所,"",35.603784,139.708096,"","","",""
大井水神南公衆便所,"",3,1,"","","","","","",公衆便所,"",35.589756,139.729248,"","","",""
大井水神北公衆便所,"",3,1,"","","","","","",公衆便所,"",35.59555,139.732645,"","","",""
弁天橋公衆便所,"",5,1,"","","","","","",公衆便所,"",35.597647,139.738992,"","","",""
南大井公衆便所,"",4,2,"","","","","","",公衆便所,"",35.594728,139.736628,"","","",""
水神公衆便所,"",3,2,"","","","","","",公衆便所,"",35.591828,139.730223,"","","",""
新品川橋公衆便所,"",4,2,"","","","","","",公衆便所,"",35.616795,139.745299,"","","",""
西小山駅前公衆便所,"",3,2,1,"","","","","",公衆便所,"",35.615138,139.698561,"","","",""
荏原橋公衆便所,"",3,1,"","","","","","",公衆便所,"",35.603737,139.707099,"","","",""
平塚中央公衆便所,"","","",2,"","","","","",公衆便所,"",35.618608,139.717354,"","","",""
北品川２丁目公衆便所,"","","",3,"","","","","",公衆便所,"",35.617112,139.743827,"","","",""
三十五橋公衆便所,"",3,"",1,"","","","","",公衆便所,"",35.602024,139.709024,"","","",""
権現山公衆便所,"",1,1,"","","","","","",公衆便所,"",35.618575,139.737766,"","","",""
新馬場北公衆便所,"",3,2,"",1,"","","","",公衆便所,"",35.617634,139.741366,"","","",""
新馬場南公衆便所,"",1,1,"","","","","","",公衆便所,"",35.615173,139.742477,"","","",""
鹿嶋公衆便所,"",3,2,"","","","","","",公衆便所,"",35.59535,139.730095,"","","",""
西大井公衆便所,"",7,3,"",1,"","","","",公衆便所,"",35.601793,139.721815,"","","",""
大井町緑地公衆便所,"",3,2,"","","","","","",公衆便所,"",35.606854,139.733072,"","","",""
南品川六丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.610462,139.73734,"","","",""
かもめ橋公衆便所,"",2,1,"","","","","","",公衆便所,"",35.600153,139.751255,"","","",""
旗の台一丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.610362,139.702134,"","","",""
荏原中延公衆便所,"",6,2,"",1,"","","","",公衆便所,"",35.61,139.711985,"","","",""
青物横丁公衆便所,"",1,"",1,"","","","","",公衆便所,"",35.610018,139.742621,"","","",""
仙台坂上公衆便所,"",4,2,"","","","","","",公衆便所,"",35.60701,139.73973,"","","",""
西大井六丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.601089,139.718661,"","","",""
西大井三丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.597035,139.723889,"","","",""
大井二丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.60425,139.727388,"","","",""
大井町駅東口公衆便所,"",3,2,1,"","","","","",公衆便所,"",35.605941,139.735136,"","","",""
不動前公衆便所,"",2,"",1,"","","","","",公衆便所,"",35.625918,139.714045,"","","",""
八ツ山の東司公衆便所,"",1,"",1,"","","","","",公衆便所,"",35.623805,139.73916,"","","",""
戸越公園（１）便所,"",3,1,"","","","","","",公園便所,"",35.611167,139.722392,"","","",""
東品川公園便所,"",3,1,"",1,"","","","",公園便所,"",35.61412,139.746038,"","","",""
荏原南公園便所,"",3,2,"","","","","","",公園便所,"",35.611467,139.702905,"","","",""
鮫洲運動公園（１）便所,"",3,1,"","","","","","",公園便所,"",35.605883,139.744994,"","","",""
小山台公園便所,"",3,2,1,"","","","","",公園便所,"",35.625557,139.698802,"","","",""
三ツ木公園便所,"",2,1,"","","","","","",公園便所,"",35.614006,139.726217,"","","",""
東大井公園便所,"",3,1,"","","","","","",公園便所,"",35.604145,139.738783,"","","",""
東八ツ山公園便所,"",3,2,"","","","","","",公園便所,"",35.62468,139.743321,"","","",""
戸越公園（２）便所,"","","",5,1,"","","","",公園便所,"",35.611167,139.722392,"","","",""
荏原中央公園便所,"",3,"",1,"","","","","",公園便所,"",35.61596,139.704166,"","","",""
大井海岸公園便所,"",3,1,"","","","","","",公園便所,"",35.588273,139.733698,"","","",""
天王洲公園（１）便所,"",3,2,"","","","","","",公園便所,"",35.619442,139.750193,"","","",""
