データセットID,データURL
t000006d0000000004,http://opendata-portal.metro.tokyo.jp/test-upload/cultural-facilities/cultural-facilities-barrier-free-elv.csv
t000010d0000000062,https://www.opendata.metro.tokyo.lg.jp/fukushihoken/koukyoshisetsu_barrier-free-wc.csv
t000010d0000000062,https://www.opendata.metro.tokyo.lg.jp/fukushihoken/tonaitetsudoueki_barrier-free-wc.csv
t000018d0000000029,https://www.opendata.metro.tokyo.lg.jp/kotsu/subway_toilet_gaiyou.csv
t000054d0000000342,https://www.opendata.metro.tokyo.lg.jp/fukushi/3_koukyoshisetsu_barieer_free_wc.csv
t000054d0000000342,https://www.opendata.metro.tokyo.lg.jp/fukushi/R0606/02/4_tonaitetsudoueki_barrier-free-wc.csv
t131067d0000000105,https://www.city.taito.lg.jp/kusei/online/opendata/seikatu/shisethutizujouhou.files/sisetu_28.csv
t131067d0000000213,https://www.city.taito.lg.jp/other/gyouseisiryou/2021/opd3_063.csv
t131083d0000000019,https://www.city.koto.lg.jp/012107/documents/131083_public_toilet.csv
t131091d0000000009,http://www.city.shinagawa.tokyo.jp/ct/other000081600/toilet.csv
t131105d0000000040,https://data.bodik.jp/dataset/73861054-d37f-4d84-a7ac-7d1010aae790/resource/79060cab-e0e4-468b-bac6-b82d4610df47/download/131105_public_toilet_20210401.csv
t131148d0000000009,https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_50/CSV/opendata_550070.csv
t131164d0000000009,https://www.opendata.metro.tokyo.lg.jp/toyoshima/R4_public_toilet.csv
t132098d0000000023,https://www.city.machida.tokyo.jp/shisei/opendata/chizujoho/koukyoutoire.files/132098_public_toilet.csv
t132217d0000000005,https://www.city.kiyose.lg.jp/_res/projects/default_project/_page_/001/001/604/132217_public_toilet.csv
t132217d0000000005,https://www.city.kiyose.lg.jp/_res/projects/default_project/_page_/001/001/604/132217_public_toilet.csv
t132241d0000000048,https://www.city.tama.lg.jp/_res/projects/default_project/_page_/001/006/788/132241_public_toilet.csv
t132284d3100000012,https://www.city.akiruno.tokyo.jp/cmsfiles/contents/0000015/15465/132284_tourist-toilets_2022.csv
t313360d0000000034,http://opendata-portal.metro.tokyo.jp/test-upload/cultural-facilities/cultural-facilities-barrier-free-elv.csv
