データセットID,データセットタイトル,データセット説明,タグ, タグ（読み）,ライセンス,組織,事業説明等のページ,データ所管部署,データセット作成日時,データセット最終更新日時,更新頻度,カテゴリ（分類）,データタイトル,データURL,データ説明,形式,サイズ,並び順,データ作成日時,データ最終更新日時
t131105d0000000001,区民農園,区民農園一覧,,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/kurashi/shizen/ikimono/kuminnoen.html,都市整備部道路公園課,2021/11/04 09:59:26,2021/12/13 13:45:11,1年,まちづくり,区民農園,https://data.bodik.jp/dataset/a0fa9b72-2089-4482-b997-a0b5091a3c97/resource/2b753c14-1550-454e-935d-8812040b6c89/download/131105_citizens_farm_20210401.csv,,CSV,1KB,0,2021/08/13 22:42:00,2021/08/13 22:42:00
t131105d0000000003,区内保育施設の空き状況（例月）,"空き状況はあくまでも予定です。状況が変わることもありますので、詳細についてはお問い合わせください。
",,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/kosodatekyouiku/hoikuennado/hoikuen/ninka/index.html,子育て支援部保育課,2021/11/04 09:59:26,2023/10/24 15:42:11,月2回,医療・福祉,2021年9月01日　区内保育施設の空き状況,https://data.bodik.jp/dataset/4c8591a5-dff1-4e12-ad9a-420db9a960fe/resource/abc79e66-9b1d-4944-b09a-57a1e86db8a3/download/131105_available_child_care_20210901.csv,"・モニカ緑が丘園Aは３歳児クラス以降の連携施設として、モニカ都立大園が設定されています。 
・モニカ緑が丘縁Bは３歳児クラス以降の連携施設はありません
",CSV,12KB,0,2021/09/03 13:42:00,2021/09/03 13:42:00
t131105d0000000003,区内保育施設の空き状況（例月）,"空き状況はあくまでも予定です。状況が変わることもありますので、詳細についてはお問い合わせください。
",,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/kosodatekyouiku/hoikuennado/hoikuen/ninka/index.html,子育て支援部保育課,2021/11/04 09:59:26,2023/10/24 15:42:11,月2回,医療・福祉,利用調整空き数　2021年8月20日,https://data.bodik.jp/dataset/4c8591a5-dff1-4e12-ad9a-420db9a960fe/resource/2f13de8d-5320-4802-9347-e364ef87da4b/download/131105_available_child_care_20210820.csv,"・モニカ緑が丘園Aは３歳児クラス以降の連携施設として、モニカ都立大園が設定されています。 
・モニカ緑が丘縁Bは３歳児クラス以降の連携施設はありません
",CSV,12KB,1,2021/08/29 20:22:00,2021/08/29 20:22:00
t131105d0000000004,町丁別・年齢別・男女別人口および町丁別世帯数　2019年度～2023年度,住民基本台帳,,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/gyosei/tokei/tokei/jinko/index.html,区民生活部戸籍住民課,2021/11/04 09:59:27,2021/12/13 13:46:56,毎月,人口減少・少子高齢化,町丁別・年齢別・男女別人口および町丁別世帯数　2020年11月,https://data.bodik.jp/dataset/98331303-9277-4266-bac6-a637ab5e47a5/resource/e4bc8148-a949-4880-b2f0-9b8d243f9c3f/download/131105_population_20201101.csv,,CSV,20KB,0,2021/08/13 21:55:00,2021/08/13 21:55:00
t131105d0000000004,町丁別・年齢別・男女別人口および町丁別世帯数　2019年度～2023年度,住民基本台帳,,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/gyosei/tokei/tokei/jinko/index.html,区民生活部戸籍住民課,2021/11/04 09:59:27,2021/12/13 13:46:56,毎月,人口減少・少子高齢化,町丁別・年齢別・男女別人口および町丁別世帯数　2021年8月,https://data.bodik.jp/dataset/98331303-9277-4266-bac6-a637ab5e47a5/resource/17856f1a-8797-4ff2-abd4-c132a156968c/download/131105_population_20210801.csv,,CSV,20KB,1,2021/08/13 21:58:00,2021/08/13 21:58:00
t131105d0000000004,町丁別・年齢別・男女別人口および町丁別世帯数　2019年度～2023年度,住民基本台帳,,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/gyosei/tokei/tokei/jinko/index.html,区民生活部戸籍住民課,2021/11/04 09:59:27,2021/12/13 13:46:56,毎月,人口減少・少子高齢化,町丁別・年齢別・男女別人口および町丁別世帯数　2020年12月,https://data.bodik.jp/dataset/98331303-9277-4266-bac6-a637ab5e47a5/resource/82dab901-b575-408b-9be7-2e4d913b2f3b/download/131105_population_20201201.csv,,CSV,20KB,2,2021/08/13 21:55:00,2021/11/05 11:42:00
t131105d0000000004,町丁別・年齢別・男女別人口および町丁別世帯数　2019年度～2023年度,住民基本台帳,,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/gyosei/tokei/tokei/jinko/index.html,区民生活部戸籍住民課,2021/11/04 09:59:27,2021/12/13 13:46:56,毎月,人口減少・少子高齢化,町丁別・年齢別・男女別人口および町丁別世帯数　2021年9月,https://data.bodik.jp/dataset/98331303-9277-4266-bac6-a637ab5e47a5/resource/d8eb4889-6f42-4427-961f-5f5c8bc4908e/download/131105_population_20210901.csv,,CSV,20KB,3,2021/09/08 10:16:00,2021/09/08 10:16:00
t131105d0000000004,町丁別・年齢別・男女別人口および町丁別世帯数　2019年度～2023年度,住民基本台帳,,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/gyosei/tokei/tokei/jinko/index.html,区民生活部戸籍住民課,2021/11/04 09:59:27,2021/12/13 13:46:56,毎月,人口減少・少子高齢化,町丁別・年齢別・男女別人口および町丁別世帯数　2021年1月,https://data.bodik.jp/dataset/98331303-9277-4266-bac6-a637ab5e47a5/resource/003fb501-83cb-4781-84cd-743c87049340/download/131105_population_20210101.csv,,CSV,20KB,4,2021/08/13 21:56:00,2021/08/13 21:56:00
t131105d0000000004,町丁別・年齢別・男女別人口および町丁別世帯数　2019年度～2023年度,住民基本台帳,,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/gyosei/tokei/tokei/jinko/index.html,区民生活部戸籍住民課,2021/11/04 09:59:27,2021/12/13 13:46:56,毎月,人口減少・少子高齢化,町丁別・年齢別・男女別人口および町丁別世帯数　2021年10月,https://data.bodik.jp/dataset/98331303-9277-4266-bac6-a637ab5e47a5/resource/8019010f-a2b1-4313-bcd8-45ade27d2a3d/download/131105_population_20211001.csv,,CSV,20KB,5,2021/10/06 16:16:00,2021/10/06 16:16:00
t131105d0000000004,町丁別・年齢別・男女別人口および町丁別世帯数　2019年度～2023年度,住民基本台帳,,,クリエイティブ・コモンズ 表示（CC BY）,目黒区,https://www.city.meguro.tokyo.jp/gyosei/tokei/tokei/jinko/index.html,区民生活部戸籍住民課,2021/11/04 09:59:27,2021/12/13 13:46:56,毎月,人口減少・少子高齢化,町丁別・年齢別・男女別人口および町丁別世帯数　2021年2月,https://data.bodik.jp/dataset/98331303-9277-4266-bac6-a637ab5e47a5/resource/add131e3-d11a-4e96-9acc-a124b2ad26ef/download/131105_population_20210201.csv,,CSV,20KB,6,2021/08/13 21:56:00,2021/08/13 21:56:00
